I, [2020-01-28T10:06:29.057050 #11064]  INFO -- Kitchen: -----> Starting Kitchen (v2.3.1)
E, [2020-01-28T10:06:29.057277 #11064] ERROR -- Kitchen: ------Exception-------
E, [2020-01-28T10:06:29.057318 #11064] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-01-28T10:06:29.057348 #11064] ERROR -- Kitchen: Message: Kitchen YAML file /home/rohit/ansible-systemd-timers/roles/kitchen.yml does not exist.
E, [2020-01-28T10:06:29.057358 #11064] ERROR -- Kitchen: ----------------------
E, [2020-01-28T10:06:29.057367 #11064] ERROR -- Kitchen: ------Backtrace-------
E, [2020-01-28T10:06:29.057375 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-01-28T10:06:29.057384 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/config.rb:154:in `data'
E, [2020-01-28T10:06:29.057393 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/config.rb:132:in `suites'
E, [2020-01-28T10:06:29.057402 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-01-28T10:06:29.057411 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-01-28T10:06:29.057419 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/config.rb:117:in `instances'
E, [2020-01-28T10:06:29.057428 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-01-28T10:06:29.057437 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-01-28T10:06:29.057446 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-01-28T10:06:29.057454 #11064] ERROR -- Kitchen: /usr/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2020-01-28T10:06:29.057463 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/command/action.rb:34:in `call'
E, [2020-01-28T10:06:29.057472 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/cli.rb:52:in `perform'
E, [2020-01-28T10:06:29.057481 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-01-28T10:06:29.057490 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-01-28T10:06:29.057498 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-01-28T10:06:29.057507 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-01-28T10:06:29.057516 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-01-28T10:06:29.057525 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/bin/kitchen:13:in `block in <top (required)>'
E, [2020-01-28T10:06:29.057534 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-01-28T10:06:29.057543 #11064] ERROR -- Kitchen: /var/lib/gems/2.5.0/gems/test-kitchen-2.3.1/bin/kitchen:13:in `<top (required)>'
E, [2020-01-28T10:06:29.057551 #11064] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `load'
E, [2020-01-28T10:06:29.057560 #11064] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `<main>'
E, [2020-01-28T10:06:29.057569 #11064] ERROR -- Kitchen: ----End Backtrace-----
